;;;;;;;;;;;;;; 80.007 ; 229.027.746,30 ; 1.633.627,99 ; 227.394.118,31 ; 41.142.264,91 ; 5.760.400,78 ; -   ; -   ; -   ; 221.651.156,36 ; 74.093.414,10 ; 1.222.563,60 ; 5.631.099,16 ; 6.853.662,76 
chave_unica;Período;Ano;Mês;Trimestre;sped_origem;sentido;Registro;CFOP;CST;Alíq. Pis do SPED;Alíq. Cofins do SPED;Nat. BC. Créd.;status_conferencia;qtd_registros; total_item ; total_desconto ; total_liquido ; total_bc_icms ; total_icms ; total_icms_st ; total_ipi ; total_iss ; bc_pis_cof_calculada ; bc_pis_cof_escriturada ; total_pis ; total_cof ; total_pis_cofins 
2022|04|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;493; 361.314,52 ; 3.413,15 ; 357.901,37 ; 79.204,71 ; 14.108,60 ; -   ; -   ; -   ; 343.792,77 ; -   ; -   ; -   ; -   
2022|04|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;7; 3.605,00 ; 4,08 ; 3.600,92 ; -   ; -   ; -   ; -   ; -   ; 3.600,92 ; 3.600,92 ; 59,41 ; 273,67 ; 333,08 
2022|04|CONTRIBUIÇÕES|Entrada|C170|2102|51|1.6500|7.6000|01|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2102;51;0,0165;0,0760;1;Não conferido;1; 2.975,00 ; -   ; 2.975,00 ; -   ; -   ; -   ; -   ; -   ; 2.975,00 ; 2.975,00 ; 49,09 ; 226,10 ; 275,19 
2022|04|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;119; 163.427,58 ; 487,68 ; 162.939,90 ; 17.191,72 ; 1.308,51 ; -   ; -   ; -   ; 161.631,39 ; -   ; -   ; -   ; -   
2022|04|CONTRIBUIÇÕES|Entrada|C170|2653|51|0.0000|0.0000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0000;0,0000;2;Não conferido;2; 4.182,69 ; 4.182,69 ; -   ; 4.182,69 ; 501,92 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2022|04|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;44; 78.021,22 ; 0,10 ; 78.021,12 ; 10.162,26 ; 1.219,46 ; -   ; -   ; -   ; 76.801,66 ; 78.021,12 ; 1.287,34 ; 5.929,63 ; 7.216,97 
2022|04|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;2; 7.000,00 ; -   ; 7.000,00 ; -   ; -   ; -   ; -   ; -   ; 7.000,00 ; -   ; -   ; -   ; -   
2022|04|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;19; 7.791,74 ; 19,00 ; 7.772,74 ; -   ; -   ; -   ; -   ; -   ; 7.772,74 ; -   ; -   ; -   ; -   
2022|04|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;162; 98.588,25 ; 476,85 ; 98.111,40 ; 45.482,05 ; 5.520,07 ; -   ; -   ; -   ; 92.591,33 ; 98.111,40 ; 1.618,89 ; 7.456,48 ; 9.075,37 
2022|04|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;79; 10.520,14 ; 104,60 ; 10.415,54 ; -   ; -   ; -   ; -   ; -   ; 10.415,54 ; -   ; -   ; -   ; -   
2022|04|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;172; 570.809,68 ; 4.442,77 ; 566.366,91 ; 552.456,95 ; 66.294,88 ; -   ; -   ; -   ; 500.072,03 ; 566.366,91 ; 9.345,10 ; 43.043,92 ; 52.389,02 
2022|04|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;413; 292.669,01 ; 479,10 ; 292.189,91 ; 55.180,76 ; 9.904,42 ; -   ; -   ; -   ; 282.285,49 ; 292.189,91 ; 4.821,90 ; 22.207,13 ; 27.029,03 
2022|04|CONTRIBUIÇÕES|Entrada|C170|2557|70|0.0000|0.0000|N/A|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;C170;2557;70;0,0000;0,0000;N/A;Não conferido;1; 90.000,00 ; -   ; 90.000,00 ; -   ; -   ; -   ; -   ; -   ; 90.000,00 ; -   ; -   ; -   ; -   
2022|04|CONTRIBUIÇÕES|Entrada|D100|1353|98|0.0000|0.0000|07|Não conferido;01/04/2022;2022;4;2;CONTRIBUIÇÕES;Entrada;D100;1353;98;0,0000;0,0000;7;Não conferido;2; 3.564,20 ; -   ; 3.564,20 ; -   ; -   ; -   ; -   ; -   ; 3.564,20 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;199; 113.245,75 ; 1.114,12 ; 112.131,63 ; 20.643,50 ; 2.689,53 ; -   ; -   ; -   ; 109.442,10 ; 112.131,63 ; 1.850,24 ; 8.521,93 ; 10.372,17 
2022|05|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;33; 40.907,48 ; -   ; 40.907,48 ; 17.930,02 ; 2.581,74 ; -   ; -   ; -   ; 38.325,74 ; 40.907,48 ; 674,95 ; 3.108,96 ; 3.783,91 
2022|05|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;16; 6.054,61 ; 5,49 ; 6.049,12 ; -   ; -   ; -   ; -   ; -   ; 6.049,12 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;879; 569.629,02 ; 26.472,28 ; 543.156,74 ; 32.129,10 ; 5.783,24 ; -   ; -   ; -   ; 537.373,50 ; 543.156,74 ; 8.962,53 ; 41.279,81 ; 50.242,34 
2022|05|CONTRIBUIÇÕES|Entrada|C170|1916|70|0.0000|0.0000|N/A|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1916;70;0,0000;0,0000;N/A;Não conferido;152; 152,00 ; -   ; 152,00 ; -   ; -   ; -   ; -   ; -   ; 152,00 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|1922|51|1.6500|7.6000|N/A|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1922;51;0,0165;0,0760;N/A;Não conferido;1; 169,86 ; -   ; 169,86 ; -   ; -   ; -   ; -   ; -   ; 169,86 ; 169,86 ; 2,80 ; 12,91 ; 15,71 
2022|05|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;121; 149.481,69 ; -   ; 149.481,69 ; 6.073,27 ; 790,06 ; -   ; -   ; -   ; 148.691,63 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|2949|70|0.0000|0.0000|N/A|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;2949;70;0,0000;0,0000;N/A;Não conferido;1; 88,78 ; -   ; 88,78 ; -   ; -   ; -   ; -   ; -   ; 88,78 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;621; 837.132,81 ; 3.830,05 ; 833.302,76 ; 516.544,80 ; 92.667,40 ; -   ; -   ; -   ; 740.635,36 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;169; 588.868,48 ; 4.225,13 ; 584.643,35 ; 573.021,90 ; 68.764,17 ; -   ; -   ; -   ; 515.879,18 ; 584.643,35 ; 9.646,62 ; 44.432,93 ; 54.079,55 
2022|05|CONTRIBUIÇÕES|Entrada|C170|1910|70|0.0000|0.0000|N/A|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1910;70;0,0000;0,0000;N/A;Não conferido;2; 2.925,75 ; -   ; 2.925,75 ; 131,29 ; 23,63 ; -   ; -   ; -   ; 2.902,12 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|1411|51|1.6500|7.6000|12|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1411;51;0,0165;0,0760;12;Não conferido;2; 6.580,00 ; -   ; 6.580,00 ; -   ; -   ; -   ; -   ; -   ; 6.580,00 ; 6.580,00 ; 108,57 ; 500,08 ; 608,65 
2022|05|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;201; 384.734,43 ; 1.611,36 ; 383.123,07 ; 36.139,35 ; 4.295,80 ; -   ; -   ; -   ; 378.827,27 ; 383.123,07 ; 6.321,65 ; 29.117,34 ; 35.438,99 
2022|05|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;3; 3.600,00 ; -   ; 3.600,00 ; -   ; -   ; -   ; -   ; -   ; 3.600,00 ; 3.600,00 ; 59,41 ; 273,60 ; 333,01 
2022|05|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;51; 12.701,28 ; 279,00 ; 12.422,28 ; -   ; -   ; -   ; -   ; -   ; 12.422,28 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;6; 10.250,00 ; -   ; 10.250,00 ; -   ; -   ; -   ; -   ; -   ; 10.250,00 ; -   ; -   ; -   ; -   
2022|05|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;283; 189.657,40 ; 311,18 ; 189.346,22 ; 58.903,43 ; 9.714,75 ; -   ; -   ; -   ; 179.631,47 ; 189.346,22 ; 3.124,40 ; 14.390,36 ; 17.514,76 
2022|05|CONTRIBUIÇÕES|Entrada|C170|1653|70|0.0000|0.0000|02|Não conferido;01/05/2022;2022;5;2;CONTRIBUIÇÕES;Entrada;C170;1653;70;0,0000;0,0000;2;Não conferido;11; 28.371,71 ; 4.052,07 ; 24.319,64 ; 10.837,46 ; 1.950,74 ; -   ; -   ; -   ; 22.368,90 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|2557|70|0.0000|0.0000|N/A|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2557;70;0,0000;0,0000;N/A;Não conferido;2; 63.000,00 ; -   ; 63.000,00 ; -   ; -   ; -   ; -   ; -   ; 63.000,00 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;225; 736.624,37 ; 2.356,42 ; 734.267,95 ; 339.736,91 ; 40.449,19 ; -   ; -   ; -   ; 693.818,76 ; 734.267,95 ; 12.115,57 ; 55.804,37 ; 67.919,94 
2022|06|CONTRIBUIÇÕES|Entrada|C170|1102|51|1.6500|7.6000|01|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;1102;51;0,0165;0,0760;1;Não conferido;1; 700,00 ; -   ; 700,00 ; -   ; -   ; -   ; -   ; -   ; 700,00 ; 700,00 ; 11,55 ; 53,20 ; 64,75 
2022|06|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;158; 654.332,03 ; 5.221,26 ; 649.110,77 ; -   ; -   ; -   ; -   ; -   ; 649.110,77 ; 649.110,77 ; 10.710,39 ; 49.332,42 ; 60.042,81 
2022|06|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;840; 590.330,54 ; 21.142,80 ; 569.187,74 ; 3.692,33 ; 644,40 ; -   ; -   ; -   ; 568.543,34 ; 569.187,74 ; 9.392,28 ; 43.258,32 ; 52.650,60 
2022|06|CONTRIBUIÇÕES|Entrada|C170|2552|70|0.0000|0.0000|N/A|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2552;70;0,0000;0,0000;N/A;Não conferido;2; 270.000,00 ; -   ; 270.000,00 ; -   ; -   ; -   ; -   ; -   ; 270.000,00 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;83; 14.575,83 ; 3,98 ; 14.571,85 ; -   ; -   ; -   ; -   ; -   ; 14.571,85 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;36; 14.461,23 ; 384,18 ; 14.077,05 ; -   ; -   ; -   ; -   ; -   ; 14.077,05 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|1916|70|0.0000|0.0000|N/A|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;1916;70;0,0000;0,0000;N/A;Não conferido;140; 31.109,00 ; -   ; 31.109,00 ; -   ; -   ; -   ; -   ; -   ; 31.109,00 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;5; 30.000,00 ; -   ; 30.000,00 ; -   ; -   ; -   ; -   ; -   ; 30.000,00 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;2; 2.830,00 ; -   ; 2.830,00 ; -   ; -   ; -   ; -   ; -   ; 2.830,00 ; 2.830,00 ; 46,70 ; 215,08 ; 261,78 
2022|06|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;283; 481.636,37 ; 1.243,81 ; 480.392,56 ; 341.039,16 ; 61.387,09 ; -   ; -   ; -   ; 419.005,47 ; 480.392,56 ; 7.926,76 ; 36.509,84 ; 44.436,60 
2022|06|CONTRIBUIÇÕES|Entrada|C170|1653|70|0.0000|0.0000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;1653;70;0,0000;0,0000;2;Não conferido;4; 13.862,13 ; 1.064,21 ; 12.797,92 ; -   ; -   ; -   ; -   ; -   ; 12.797,92 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;77; 50.340,66 ; -   ; 50.340,66 ; 17.959,98 ; 2.569,44 ; -   ; -   ; -   ; 47.771,22 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;225; 178.903,45 ; 114,86 ; 178.788,59 ; 68.359,14 ; 9.041,93 ; -   ; -   ; -   ; 169.746,66 ; 178.788,59 ; 2.950,14 ; 13.587,84 ; 16.537,98 
2022|06|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;541; 320.791,31 ; 2.096,12 ; 318.695,19 ; 62.228,51 ; 10.996,95 ; -   ; -   ; -   ; 307.698,24 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|2653|70|0.0000|0.0000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;2653;70;0,0000;0,0000;2;Não conferido;11; 47.570,57 ; 1.127,18 ; 46.443,39 ; -   ; -   ; -   ; -   ; -   ; 46.443,39 ; -   ; -   ; -   ; -   
2022|06|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/06/2022;2022;6;2;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;48; 755.123,12 ; -   ; 755.123,12 ; 2.042,12 ; 367,58 ; -   ; -   ; -   ; 754.755,54 ; 755.123,12 ; 12.459,55 ; 57.389,36 ; 69.848,91 
2022|07|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;34; 47.505,44 ; -   ; 47.505,44 ; -   ; -   ; -   ; -   ; -   ; 47.505,44 ; 47.505,44 ; 783,84 ; 3.610,40 ; 4.394,24 
2022|07|CONTRIBUIÇÕES|Entrada|C170|1949|70|0.0000|0.0000|N/A|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1949;70;0,0000;0,0000;N/A;Não conferido;17; 15.203,03 ; -   ; 15.203,03 ; -   ; -   ; -   ; -   ; -   ; 15.203,03 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|2949|98|0.0000|0.0000|N/A|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2949;98;0,0000;0,0000;N/A;Não conferido;1; 77,36 ; -   ; 77,36 ; 77,36 ; 9,28 ; -   ; -   ; -   ; 68,08 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|1916|70|0.0000|0.0000|N/A|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1916;70;0,0000;0,0000;N/A;Não conferido;149; 149,00 ; -   ; 149,00 ; -   ; -   ; -   ; -   ; -   ; 149,00 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;7; 3.154,76 ; 406,18 ; 2.748,58 ; -   ; -   ; -   ; -   ; -   ; 2.748,58 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;244; 140.825,56 ; 1.208,91 ; 139.616,65 ; 50.311,05 ; 5.701,27 ; -   ; -   ; -   ; 133.915,38 ; 139.616,65 ; 2.303,70 ; 10.610,89 ; 12.914,59 
2022|07|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;65; 28.167,65 ; 325,64 ; 27.842,01 ; 5.232,49 ; 571,34 ; -   ; -   ; -   ; 27.270,67 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;104; 466.057,02 ; 0,05 ; 466.056,97 ; 432,89 ; 60,97 ; -   ; -   ; -   ; 465.996,00 ; 466.056,97 ; 7.689,93 ; 35.420,29 ; 43.110,22 
2022|07|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;4; 23.500,00 ; -   ; 23.500,00 ; -   ; -   ; -   ; -   ; -   ; 23.500,00 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;56; 27.392,16 ; 1.019,53 ; 26.372,63 ; 12.149,84 ; 1.353,82 ; -   ; -   ; -   ; 25.018,81 ; 26.372,63 ; 435,16 ; 2.004,32 ; 2.439,48 
2022|07|CONTRIBUIÇÕES|Entrada|C170|1653|70|0.0000|0.0000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1653;70;0,0000;0,0000;2;Não conferido;5; 11.160,82 ; 1.345,37 ; 9.815,45 ; -   ; -   ; -   ; -   ; -   ; 9.815,45 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|1411|51|1.6500|7.6000|12|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1411;51;0,0165;0,0760;12;Não conferido;1; 705,44 ; -   ; 705,44 ; -   ; -   ; -   ; -   ; -   ; 705,44 ; 705,44 ; 11,64 ; 53,61 ; 65,25 
2022|07|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;305; 585.653,66 ; 34.185,40 ; 551.468,26 ; 325.794,78 ; 58.597,92 ; -   ; -   ; -   ; 492.870,34 ; 551.468,26 ; 9.099,41 ; 41.911,59 ; 51.011,00 
2022|07|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;559; 421.903,53 ; 11.170,91 ; 410.732,62 ; 107.335,35 ; 17.670,18 ; -   ; -   ; -   ; 393.062,44 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;572; 392.623,32 ; 9.955,75 ; 382.667,57 ; 10.855,93 ; 1.954,07 ; -   ; -   ; -   ; 380.713,50 ; 382.667,57 ; 6.314,12 ; 29.082,71 ; 35.396,83 
2022|07|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;19; 4.099,01 ; -   ; 4.099,01 ; 730,44 ; 97,16 ; -   ; -   ; -   ; 4.001,85 ; -   ; -   ; -   ; -   
2022|07|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;14; 19.448,00 ; 1,19 ; 19.446,81 ; -   ; -   ; -   ; -   ; -   ; 19.446,81 ; 19.446,81 ; 320,91 ; 1.477,96 ; 1.798,87 
2022|07|CONTRIBUIÇÕES|Entrada|C170|1102|51|1.6500|7.6000|01|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;1102;51;0,0165;0,0760;1;Não conferido;4; 1.842,49 ; 45,37 ; 1.797,12 ; 1.797,12 ; 323,48 ; -   ; -   ; -   ; 1.473,64 ; 1.797,12 ; 29,65 ; 136,58 ; 166,23 
2022|07|CONTRIBUIÇÕES|Entrada|C170|2949|70|0.0000|0.0000|N/A|Não conferido;01/07/2022;2022;7;3;CONTRIBUIÇÕES;Entrada;C170;2949;70;0,0000;0,0000;N/A;Não conferido;4; 1.443,66 ; -   ; 1.443,66 ; 1.443,66 ; 173,24 ; -   ; -   ; -   ; 1.270,42 ; -   ; -   ; -   ; -   
2022|08|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/08/2022;2022;8;3;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;8; 6.419,50 ; -   ; 6.419,50 ; -   ; -   ; -   ; -   ; -   ; 6.419,50 ; 6.419,50 ; 105,92 ; 487,89 ; 593,81 
