;;;;;;;;;;;;;; 80.007 ; 229.027.746,30 ; 1.633.627,99 ; 227.394.118,31 ; 41.142.264,91 ; 5.760.400,78 ; -   ; -   ; -   ; 221.651.156,36 ; 74.093.414,10 ; 1.222.563,60 ; 5.631.099,16 ; 6.853.662,76 
chave_unica;Período;Ano;Mês;Trimestre;sped_origem;sentido;Registro;CFOP;CST;Alíq. Pis do SPED;Alíq. Cofins do SPED;Nat. BC. Créd.;status_conferencia;qtd_registros; total_item ; total_desconto ; total_liquido ; total_bc_icms ; total_icms ; total_icms_st ; total_ipi ; total_iss ; bc_pis_cof_calculada ; bc_pis_cof_escriturada ; total_pis ; total_cof ; total_pis_cofins 
2021|02|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;17; 18.570,00 ; -   ; 18.570,00 ; -   ; -   ; -   ; -   ; -   ; 18.570,00 ; 18.570,00 ; 306,44 ; 1.411,32 ; 1.717,76 
2021|02|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;44; 542.475,56 ; 567,14 ; 541.908,42 ; -   ; -   ; -   ; -   ; -   ; 541.908,42 ; 541.908,42 ; 8.941,52 ; 41.185,01 ; 50.126,53 
2021|02|CONTRIBUIÇÕES|Entrada|C170|1554|70|0.0000|0.0000|N/A|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1554;70;0,0000;0,0000;N/A;Não conferido;1; 599.500,00 ; -   ; 599.500,00 ; -   ; -   ; -   ; -   ; -   ; 599.500,00 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|1551|70|0.0000|0.0000|10|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1551;70;0,0000;0,0000;10;Não conferido;11; 2.759,37 ; 47,20 ; 2.712,17 ; 1.219,50 ; 219,51 ; -   ; -   ; -   ; 2.492,66 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|1102|70|0.0000|0.0000|01|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1102;70;0,0000;0,0000;1;Não conferido;7; 6.157,99 ; 317,75 ; 5.840,24 ; 130,75 ; 17,39 ; -   ; -   ; -   ; 5.822,85 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2902|98|0.0000|0.0000|N/A|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2902;98;0,0000;0,0000;N/A;Não conferido;55; 106,00 ; -   ; 106,00 ; -   ; -   ; -   ; -   ; -   ; 106,00 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2552|70|0.0000|0.0000|N/A|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2552;70;0,0000;0,0000;N/A;Não conferido;3; 669.500,00 ; -   ; 669.500,00 ; -   ; -   ; -   ; -   ; -   ; 669.500,00 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;993; 568.549,87 ; 15.483,75 ; 553.066,12 ; 76.869,98 ; 13.695,57 ; -   ; -   ; -   ; 539.370,55 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|1949|70|0.0000|0.0000|N/A|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1949;70;0,0000;0,0000;N/A;Não conferido;12; 31.591,26 ; -   ; 31.591,26 ; 14.375,84 ; 2.587,65 ; -   ; -   ; -   ; 29.003,61 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2923|70|0.0000|0.0000|N/A|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2923;70;0,0000;0,0000;N/A;Não conferido;7; 14.547,00 ; -   ; 14.547,00 ; -   ; -   ; -   ; -   ; -   ; 14.547,00 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2102|51|1.6500|7.6000|01|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2102;51;0,0165;0,0760;1;Não conferido;40; 28.602,46 ; 329,24 ; 28.273,22 ; 13.665,51 ; 1.515,87 ; -   ; -   ; -   ; 26.757,35 ; 28.273,22 ; 466,49 ; 2.148,74 ; 2.615,23 
2021|02|CONTRIBUIÇÕES|Entrada|C170|1102|51|1.6500|7.6000|01|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1102;51;0,0165;0,0760;1;Não conferido;78; 72.858,27 ; 100,45 ; 72.757,82 ; 61.610,11 ; 10.493,51 ; -   ; -   ; -   ; 62.264,31 ; 72.757,82 ; 1.200,60 ; 5.529,61 ; 6.730,21 
2021|02|CONTRIBUIÇÕES|Entrada|C170|1403|51|1.6500|7.6000|01|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1403;51;0,0165;0,0760;1;Não conferido;1; 29,00 ; -   ; 29,00 ; -   ; -   ; -   ; -   ; -   ; 29,00 ; 29,00 ; 0,48 ; 2,20 ; 2,68 
2021|02|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;74; 259.190,73 ; 1.898,66 ; 257.292,07 ; 12.801,71 ; 742,96 ; -   ; -   ; -   ; 256.549,11 ; 257.292,07 ; 4.245,35 ; 19.554,19 ; 23.799,54 
2021|02|CONTRIBUIÇÕES|Entrada|C170|2557|70|0.0000|0.0000|N/A|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2557;70;0,0000;0,0000;N/A;Não conferido;1; 10.180,00 ; -   ; 10.180,00 ; -   ; -   ; -   ; -   ; -   ; 10.180,00 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;96; 134.445,49 ; 13.464,65 ; 120.980,84 ; 27.894,06 ; 3.371,74 ; -   ; -   ; -   ; 117.609,10 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;152; 191.722,29 ; 1.085,01 ; 190.637,28 ; 9.942,10 ; 1.239,23 ; -   ; -   ; -   ; 189.398,05 ; 190.637,28 ; 3.145,59 ; 14.488,39 ; 17.633,98 
2021|02|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;1066; 794.678,29 ; 15.159,06 ; 779.519,23 ; 305.185,48 ; 52.680,68 ; -   ; -   ; -   ; 726.838,55 ; 779.519,23 ; 12.862,38 ; 59.243,58 ; 72.105,96 
2021|02|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;18; 12.916,61 ; 1.120,00 ; 11.796,61 ; -   ; -   ; -   ; -   ; -   ; 11.796,61 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2102|70|0.0000|0.0000|01|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2102;70;0,0000;0,0000;1;Não conferido;7; 3.417,58 ; -   ; 3.417,58 ; 3.417,58 ; 409,47 ; -   ; -   ; -   ; 3.008,11 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;46; 163.871,46 ; 14.375,81 ; 149.495,65 ; -   ; -   ; -   ; -   ; -   ; 149.495,65 ; 149.495,65 ; 2.466,73 ; 11.361,66 ; 13.828,39 
2021|03|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;48; 12.336,72 ; -   ; 12.336,72 ; -   ; -   ; -   ; -   ; -   ; 12.336,72 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|2552|70|0.0000|0.0000|N/A|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2552;70;0,0000;0,0000;N/A;Não conferido;1; 135.000,00 ; -   ; 135.000,00 ; -   ; -   ; -   ; -   ; -   ; 135.000,00 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;20; 14.170,80 ; 594,44 ; 13.576,36 ; -   ; -   ; -   ; -   ; -   ; 13.576,36 ; 13.576,36 ; 224,03 ; 1.031,79 ; 1.255,82 
2021|03|CONTRIBUIÇÕES|Entrada|C170|1902|98|0.0000|0.0000|N/A|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;1902;98;0,0000;0,0000;N/A;Não conferido;214; 423,00 ; -   ; 423,00 ; -   ; -   ; -   ; -   ; -   ; 423,00 ; -   ; -   ; -   ; -   
